type,number,sex,group,class
aBc,13,NA,LF,2
aBC,4,NA,LF,2
Abc,5,NA,LF,2
ABc,20,NA,LF,2
abC,16,NA,LF,2
ABC,76,NA,YYT,4
abc,79,NA,YYT,4
AbC,23,NA,YYT,4
aBc,14,NA,YYT,4
aBC,5,NA,YYT,4
Abc,6,NA,YYT,4
ABc,15,NA,YYT,4
abC,12,NA,YYT,4
ABC,52,NA,SHW,4
abc,56,NA,SHW,4
AbC,17,NA,SHW,4
aBc,15,NA,SHW,4
aBC,4,NA,SHW,4
Abc,4,NA,SHW,4
ABc,15,NA,SHW,4
abC,12,NA,SHW,4
ABC,65,NA,ST,4
abc,67,NA,ST,4
AbC,17,NA,ST,4
aBc,20,NA,ST,4
aBC,7,NA,ST,4
Abc,7,NA,ST,4
ABc,14,NA,ST,4
abC,10,NA,ST,4
